id,itemName,lotNo,quantity,unit,vendor,receivedDate,note,createdBy,createdAt,updatedBy,updatedAt
P1_rm01,톨루엔,TOL-2026-001,1225,kg,(주)한솔케미칼,2026-06-01,,admin,2026-06-01T00:00:00.000Z,user2,2026-06-27T03:55:35.361Z
P1_rm02,톨루엔,TOL-2026-002,750,kg,(주)한솔케미칼,2026-06-15,,admin,2026-06-01T00:00:00.000Z,user2,2026-06-27T03:55:35.339Z
P1_rm03,촉매펠릿,CAT-2026-001,400,ea,동성하이켐,2026-06-01,,admin,2026-06-01T00:00:00.000Z,admin,2026-06-01T00:00:00.000Z
P1_rm04,촉매펠릿,CAT-2026-002,300,ea,동성하이켐,2026-06-20,,admin,2026-06-01T00:00:00.000Z,admin,2026-06-01T00:00:00.000Z
P1_rm05,황산,SUL-2026-001,500,L,대정화학,2026-06-03,,admin,2026-06-01T00:00:00.000Z,admin,2026-06-01T00:00:00.000Z
P1_rm06,황산,SUL-2026-002,350,L,대정화학,2026-06-18,,admin,2026-06-01T00:00:00.000Z,admin,2026-06-01T00:00:00.000Z
P1_rm07,아세톤,ACE-2026-001,600,kg,(주)한솔케미칼,2026-06-05,,admin,2026-06-01T00:00:00.000Z,admin,2026-06-01T00:00:00.000Z
P1_rm08,아세톤,ACE-2026-002,400,kg,(주)한솔케미칼,2026-06-22,,admin,2026-06-01T00:00:00.000Z,admin,2026-06-01T00:00:00.000Z
P1_rm09,에탄올,ETH-2026-001,650,L,대정화학,2026-06-07,,admin,2026-06-01T00:00:00.000Z,admin1,2026-06-27T03:55:35.447Z
rm_91e9ced2fdb1,톨루엔,TOL-TEST-1공장-001,500,kg,테스트업체,2026-06-27,,user2,2026-06-27T03:55:35.333Z,user2,2026-06-27T03:55:35.333Z
rm_e4ed5fef03f9,아세톤,CONC-1공장-0,10,kg,,2026-06-27,,admin1,2026-06-27T03:55:35.453Z,admin1,2026-06-27T03:55:35.453Z
rm_c047a9daa822,아세톤,CONC-1공장-1,10,kg,,2026-06-27,,user2,2026-06-27T03:55:35.454Z,user2,2026-06-27T03:55:35.454Z
rm_de91f9c1a990,아세톤,CONC-1공장-2,10,kg,,2026-06-27,,user3,2026-06-27T03:55:35.455Z,user3,2026-06-27T03:55:35.455Z
rm_7a3890a61aa6,아세톤,CONC-1공장-3,10,kg,,2026-06-27,,user4,2026-06-27T03:55:35.455Z,user4,2026-06-27T03:55:35.455Z
rm_d1f81f4da72d,아세톤,CONC-1공장-4,10,kg,,2026-06-27,,user7,2026-06-27T03:55:35.456Z,user7,2026-06-27T03:55:35.456Z
rm_bfdf60ffb152,아세톤,CONC-1공장-5,10,kg,,2026-06-27,,admin,2026-06-27T03:55:35.457Z,admin,2026-06-27T03:55:35.457Z
rm_998f635af867,아세톤,CONC-1공장-6,10,kg,,2026-06-27,,admin,2026-06-27T03:55:35.458Z,admin,2026-06-27T03:55:35.458Z
rm_ded6b27b665a,아세톤,CONC-1공장-7,10,kg,,2026-06-27,,user2,2026-06-27T03:55:35.459Z,user2,2026-06-27T03:55:35.459Z
rm_5811ea04b941,아세톤,CONC-1공장-8,10,kg,,2026-06-27,,user3,2026-06-27T03:55:35.460Z,user3,2026-06-27T03:55:35.460Z
rm_ef1c4ae7d9bb,아세톤,CONC-1공장-9,10,kg,,2026-06-27,,admin1,2026-06-27T03:55:35.461Z,admin1,2026-06-27T03:55:35.461Z
